title,make,model,year,engine_cc,mileage,price_usd,price_ugx,url
2013 Mazda Verisa,Mazda,Verisa,2013,"1,500cc","93,200km",4500,16200000,/cars-list/hatchback/2013-mazda-verisa-7204?select_type=export
2011 Mazda Biante,Mazda,Biante,2011,"2,000cc","100,500km",4500,16200000,/cars-list/mini-van/2011-mazda-biante-7203?select_type=export
2008 Toyota Vellfire,Toyota,Vellfire,2008,"2,390cc","102,700km",5200,18720000,/cars-list/mini-van/2008-toyota-vellfire-7200?select_type=export
2012 Subaru Legacy Touring Wagon,Subaru,Legacy,2012,"2,490cc","102,400km",4900,17640000,/cars-list/wagon/2012-subaru-legacy-touring-wagon-7199?select_type=export
2012 Subaru Impreza,Subaru,Impreza,2012,"1,590cc","66,900km",4700,16920000,/cars-list/hatchback/2012-subaru-impreza-7197?select_type=export
2009 Mazda Verisa,Mazda,Verisa,2009,"1,490cc","101,400km",4300,15480000,/cars-list/hatchback/2009-mazda-verisa-7195?select_type=export
2007 Daihatsu Miragino,Daihatsu,Miragino,2007,650cc,"85,100km",3800,13680000,/cars-list/hatchback/2007-daihatsu-miragino-7194?select_type=export
2012 Nissan Cube,Nissan,Cube,2012,"1,490cc","81,300km",3900,14040000,/cars-list/2012-nissan-cube-7193?select_type=export
2011 Honda Stream,Honda,Stream,2011,"1,990cc","107,100km",4300,15480000,/cars-list/mini-van/2011-honda-stream-7192?select_type=export
2004 Suzuki Jimny,Suzuki,Jimny,2004,650cc,"145,800km",4800,17280000,/cars-list/suv/2004-suzuki-jimny-7191?select_type=export
2012 Suzuki Lapin,Suzuki,Lapin,2012,650cc,"79,100km",3900,14040000,/cars-list/hatchback/2012-suzuki-lapin-7185?select_type=export
2012 Mercedes-Benz B-Class,Mercedes-Benz,B-Class,2012,"1,590cc","35,300km",5200,18720000,/cars-list/hatchback/2012-mercedes-benz-b-class-7179?select_type=export
2003 Mazda RX-8,Mazda,RX-8,2003,,"49,700km",4500,16200000,/cars-list/coupe/2003-mazda-rx-8-7177?select_type=export
2008 Honda Freed,Honda,Freed,2008,"1,490cc",,4400,15840000,/cars-list/hatchback/2008-honda-freed-7173?select_type=export
2012 Suzuki Swift,Suzuki,Swift,2012,"1,240cc","73,200km",4300,15480000,/cars-list/hatchback/2012-suzuki-swift-7172?select_type=export
2013 Honda N BOX,Honda,N,2013,650cc,"107,300km",4600,16560000,/cars-list/hatchback/2013-honda-n-box-7171?select_type=export
2011 BMW MINI Cooper,BMW,MINI,2011,"1,590cc","80,600km",4300,15480000,/cars-list/hatchback/2011-bmw-mini-cooper-7170?select_type=export
2014 Toyota SPADE,Toyota,SPADE,2014,"1,490cc","95,000km",4700,16920000,/cars-list/hatchback/2014-toyota-spade-7168?select_type=export
2012 Subaru Exiga,Subaru,Exiga,2012,"2,490cc","108,300km",4700,16920000,/cars-list/wagon/2012-subaru-exiga-7167?select_type=export
2010 Daihatsu MIRA COCOA,Daihatsu,MIRA,2010,650cc,"104,800km",3900,14040000,/cars-list/hatchback/2010-daihatsu-mira-cocoa-7166?select_type=export
2012 Daihatsu MIRA COCOA,Daihatsu,MIRA,2012,650cc,"74,900km",4300,15480000,/cars-list/hatchback/2012-daihatsu-mira-cocoa-7165?select_type=export
2015 Mazda Flair Crossover,Mazda,Flair,2015,650cc,"94,000km",4500,16200000,/cars-list/hatchback/2015-mazda-flair-crossover-7164?select_type=export
2016 Toyota Passo,Toyota,Passo,2016,990cc,"31,500km",4800,17280000,/cars-list/hatchback/2016-toyota-passo-7163?select_type=export
2010 BMW X1,BMW,X1,2010,"1,990cc","98,900km",5800,20880000,/cars-list/suv/2010-bmw-x1-7162?select_type=export
2010 Subaru Impreza,Subaru,Impreza,2010,"1,490cc","73,300km",4500,16200000,/cars-list/hatchback/2010-subaru-impreza-7159?select_type=export
2008 Audi TT,Audi,TT,2008,"1,980cc","107,300km",4800,17280000,/cars-list/coupe/2008-audi-tt-7158?select_type=export
2012 Nissan Lafesta,Nissan,Lafesta,2012,"1,990cc","50,900km",4500,16200000,/cars-list/mini-van/2012-nissan-lafesta-7154?select_type=export
2024 Toyota Land Cruiser,Toyota,Land,2024,"3,440cc","9,900km",88000,316800000,/cars-list/suv/2024-toyota-land-cruiser-7153?select_type=export
2002 Nissan Fairlady Z,Nissan,Fairlady,2002,"3,490cc","101,800km",5500,19800000,/cars-list/coupe/2002-nissan-fairlady-z-7152?select_type=export
2011 Toyota Prius,Toyota,Prius,2011,"1,790cc","112,000km",4800,17280000,/cars-list/sedan/2011-toyota-prius-7147?select_type=export
2011 Toyota Prius,Toyota,Prius,2011,"1,790cc","127,000km",4500,16200000,/cars-list/sedan/2011-toyota-prius-7146?select_type=export
2005 Daihatsu Miragino,Daihatsu,Miragino,2005,650cc,"98,700km",3500,12600000,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export
2008 Toyota Mark X,Toyota,Mark,2008,"2,490cc","73,300km",4200,15120000,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export
2013 Nissan Note,Nissan,Note,2013,"1,190cc","68,900km",3900,14040000,/cars-list/hatchback/2013-nissan-note-7142?select_type=export
2012 Nissan Serena,Nissan,Serena,2012,"1,990cc","110,000km",4800,17280000,/cars-list/mini-van/2012-nissan-serena-7140?select_type=export
2013 Toyota Land Cruiser,Toyota,Land,2013,"4,600cc","97,000km",35000,126000000,/cars-list/suv/2013-toyota-land-cruiser-7139?select_type=export
2008 Audi A5,Audi,A5,2008,"3,190cc","66,500km",5900,21240000,/cars-list/coupe/2008-audi-a5-7136?select_type=export
1985 Toyota Sprinter Trueno,Toyota,Sprinter,1985,"1,600cc","177,600km",26900,96840000,/cars-list/hatchback/1985-toyota-sprinter-trueno-7133?select_type=export
2006 Toyota Porte,Toyota,Porte,2006,"1,496cc","86,300km",3200,11520000,/cars-list/hatchback/2006-toyota-porte-7096?select_type=export
1991 Honda Acty Truck,Honda,Acty,1991,650cc,"59,100km",4900,17640000,/cars-list/truck/1991-honda-acty-truck-7085?select_type=export
1998 Mitsubishi Minicab Truck,Mitsubishi,Minicab,1998,650cc,"63,600km",3900,14040000,/cars-list/truck/1998-mitsubishi-minicab-truck-7080?select_type=export
2008 Honda Fit,Honda,Fit,2008,"1,330cc","95,600km",3500,12600000,/cars-list/hatchback/2008-honda-fit-7072?select_type=export
1995 Suzuki Carry Truck,Suzuki,Carry,1995,650cc,"78,900km",3900,14040000,/cars-list/truck/1995-suzuki-carry-truck-7067?select_type=export
2022 Kawasaki Industry Kawasaki Industry Others,Kawasaki,Industry,2022,249cc,"18,000km",6500,23400000,/cars-list/motorcycle/2022-kawasaki-industry-kawasaki-industry-others-7051?select_type=export
2008 Lexus LS,Lexus,LS,2008,"4,600cc","86,000km",6500,23400000,/cars-list/sedan/2008-lexus-ls-7038?select_type=export
2023 Cadillac Deville,Cadillac,Deville,2023,,,48000,172800000,/cars-list/coupe/2023-cadillac-deville-6699?select_type=export
2005 Daihatsu Hijet Truck,Daihatsu,Hijet,2005,650cc,"61,700km",1900,6840000,/cars-list/truck/2005-daihatsu-hijet-truck-6583?select_type=export
2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,650cc,"69,600km",2200,7920000,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export
1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,650cc,"85,300km",2900,10440000,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export
2001 Toyota Soarer,Toyota,Soarer,2001,"4,290cc","122,800km",6300,22680000,/cars-list/convertible/2001-toyota-soarer-6023?select_type=export
