ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
BW726274,"2015 TOYOTA SIENTA
                                 DICE-G",TOYOTA,SIENTA,2015/6,"36,939 km","1,490cc",AT,Petrol,7,Location,,,,,/toyota/sienta/bw726274/id/9989384/
BY750253,"2015 MERCEDES-BENZ M-CLASS
                                 ML350 4MATIC",MERCEDES-BENZ,M-CLASS,2015/7,"52,427 km","3,490cc",AT,Petrol,5,Location,,,,,/mercedes-benz/m-class/by750253/id/11901853/
BY759022,2006 HONDA ACTY TRUCK,HONDA,ACTY,2006/12,"111,250 km",650cc,MT,Petrol,2,Location,,,,,/honda/acty-truck/by759022/id/11910020/
BY759024,2013 MITSUBISHI CANTER,MITSUBISHI,CANTER,2013/2,"312,401 km","2,990cc",Semi AT,Diesel,3,Location,,,,,/mitsubishi/canter/by759024/id/11910065/
CA462307,"2014 TOYOTA HIACE VAN
                                 DX",TOYOTA,HIACE,2014/4,"161,352 km","2,980cc",AT,Diesel,3,Location,,,,,/toyota/hiace-van/ca462307/id/12565207/
CA740447,"2011 TOYOTA WISH
                                 1.8X",TOYOTA,WISH,2011/9,"154,001 km","1,790cc",AT,Petrol,7,Location,,,,,/toyota/wish/ca740447/id/12831915/
CB026605,"2017 HONDA FIT HYBRID
                                 L HONDA SENSING",HONDA,FIT,2017/9,"111,072 km","1,490cc",AT,Hybrid(Petrol),5,Location,,,,,/honda/fit-hybrid/cb026605/id/13106276/
CA848029,"2023 SUZUKI JIMNY SIERRA
                                 JC",SUZUKI,JIMNY,2023/3,"18,932 km","1,460cc",AT,Petrol,4,Location,,,,,/suzuki/jimny-sierra/ca848029/id/12936910/
CA797413,"2022 TOYOTA ALPHARD
                                 2.5SC",TOYOTA,ALPHARD,2022/6,"23,020 km","2,493cc",CVT,Petrol,7,Location,,,,,/toyota/alphard/ca797413/id/12886566/
CA809714,"2022 HONDA N BOX
                                 L",HONDA,N,2022/6,"17,769 km",658cc,CVT,Petrol,4,Location,,,,,/honda/n-box/ca809714/id/12898876/
CB205403,"2015 MITSUBISHI OUTLANDER
                                 NEWFACELIFT-REARENT-SUNROOF-4WD",MITSUBISHI,OUTLANDER,2015/11,"56,476 km","2,360cc",AT,Petrol,7,Location,,,,,/mitsubishi/outlander/cb205403/id/13262819/
CA571753,"2021 MAZDA CX-5
                                 20S",MAZDA,CX-5,2021/1,"23,230 km","1,997cc",AT,Petrol,5,Location,,,,,/mazda/cx-5/ca571753/id/12658762/
CA556202,2023 HONDA N BOX,HONDA,N,2023/12,"3,330 km",658cc,CVT,Petrol,4,Location,,,,,/honda/n-box/ca556202/id/12642386/
