title,make,model,year,condition,transmission,location,price,url
Toyota Harrier 2.4 2011 Black,Toyota,Harrier,2011,foreign used,automatic,"Kampala, Nakawa",58750000,https://jiji.ug/nakawa/cars/toyota-harrier-2-4-2011-black-iMvqJQPNqVjQeqq9LyNsIdIB.html?page=1&pos=1&cur_pos=1&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=0
Toyota C-HR XLE Prermium FWD (2.0L 4cyl 2AM) 2018 Maroon,Toyota,C-HR,2018,foreign used,automatic,"Kampala, Nakawa",77000000,https://jiji.ug/nakawa/cars/toyota-c-hr-xle-prermium-fwd-2-0l-4cyl-2am-2018-maroon-3ts0cn7lUdBzvfBUpyRZ0263.html?page=1&pos=4&cur_pos=4&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=3
Toyota Esquire 2016 Black,Toyota,Esquire,2016,foreign used,automatic,"Kampala, Nakawa",59000000,https://jiji.ug/nakawa/cars/toyota-esquire-2016-black-dib2uxBVpS44yaiHDtPCC7kF.html?page=1&pos=7&cur_pos=7&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=6
New Toyota Land Cruiser Prado 2.7 2024 Black,New,Toyota,2024,,automatic,"Kampala, Nakawa",390000000,https://jiji.ug/nakawa/cars/new-toyota-land-cruiser-prado-2-7-2024-black-g6FzzJ2x92OZJVG7WuWTBR7k.html?page=1&pos=10&cur_pos=10&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=9
Toyota Wish 2007 White,Toyota,Wish,2007,local used,automatic,"Kampala, Central Division",18000000,https://jiji.ug/central-division/cars/toyota-wish-2007-white-hFsFSdwMWDR3gGACbVBrZDfB.html?page=1&pos=13&cur_pos=13&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=12
Daihatsu HIJET 2006 White,Daihatsu,HIJET,2006,local used,manual,"Kampala, Central Division",17000000,https://jiji.ug/central-division/cars/daihatsu-hijet-2006-white-pnXW9lZhHh2ILe1jevGyZN56.html?page=1&pos=16&cur_pos=16&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=15
Toyota Land Cruiser 2023 Black,Toyota,Land,2023,foreign used,automatic,"Kampala, Nakawa",450000000,https://jiji.ug/nakawa/cars/toyota-land-cruiser-2023-black-aDhI8iPOAOj5xTcYMitpISgc.html?page=1&pos=19&cur_pos=19&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=18
Toyota Sienta 2005 White,Toyota,Sienta,2005,local used,automatic,"Kampala, Central Division",23000000,https://jiji.ug/central-division/cars/toyota-sienta-2005-white-vWXwsjOP12mfvWvsmfMcOT5n.html?page=1&pos=22&cur_pos=22&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=21
Toyota Sienta 1.5 AWD 2016 Pearl,Toyota,Sienta,2016,foreign used,automatic,"Kampala, Nakawa",39000000,https://jiji.ug/nakawa/cars/toyota-sienta-1-5-awd-2016-pearl-8vMh8SqCnR9bNjQkY0ib9cuf.html?page=1&pos=2&cur_pos=2&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=1
Subaru Forester 2.0XT Premium AWD 2016 Silver,Subaru,Forester,2016,foreign used,automatic,"Kampala, Nakawa",58400000,https://jiji.ug/nakawa/cars/subaru-forester-2-0xt-premium-awd-2016-silver-jNK6pyp5YX4UHmd66qLwvmPN.html?page=1&pos=5&cur_pos=5&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=4
Toyota Carib 1998 White,Toyota,Carib,1998,local used,automatic,"Kampala, Central Division",10200000,https://jiji.ug/central-division/cars/toyota-carib-1998-white-brG7VqOs4q4CH7240LAY5N3p.html?page=1&pos=8&cur_pos=8&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=7
BMW X6 xDrive30d 2011 Blue,BMW,X6,2011,foreign used,automatic,"Kampala, Nakawa",85000000,https://jiji.ug/nakawa/cars/bmw-x6-xdrive30d-2011-blue-w3qrfxw90ZHSMqYCW2SaUhui.html?page=1&pos=11&cur_pos=11&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=10
Toyota Corolla Fielder 2011 Black,Toyota,Corolla,2011,foreign used,automatic,"Kampala, Nakawa",35000000,https://jiji.ug/nakawa/cars/toyota-corolla-fielder-2011-black-8YnkIQaLMtv7q7fkc5ECrU9E.html?page=1&pos=14&cur_pos=14&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=13
Volkswagen Golf 2009 Black,Volkswagen,Golf,2009,foreign used,automatic,"Kampala, Rubaga",25000000,https://jiji.ug/rubaga/cars/volkswagen-golf-2009-black-Ckuh3HXoEERXSvEyhLv8noiO.html?page=1&pos=17&cur_pos=17&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=16
Subaru Forester 2.5i Premium AWD 2016 Black,Subaru,Forester,2016,foreign used,automatic,"Kampala, Central Division",58000000,https://jiji.ug/central-division/cars/subaru-forester-2-5i-premium-awd-2016-black-5gCaLqNM4647J6ejUpVUOMGM.html?page=1&pos=20&cur_pos=20&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=19
Toyota Corolla Fielder 2008 Silver,Toyota,Corolla,2008,local used,automatic,"Kampala, Central Division",21000000,https://jiji.ug/central-division/cars/toyota-corolla-fielder-2008-silver-abpPQEeAerZoQkZmDwY4gxlX.html?page=1&pos=23&cur_pos=23&ads_per_page=24&ads_count=7246&lid=rCaeUZr9tsLSjbb6&indexPosition=22
