ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url
BW726274,"2015 TOYOTA SIENTA
                                 DICE-G",Toyota,Sienta,2015,36939,1490.0,AT,Petrol,7,Location,,,,,/toyota/sienta/bw726274/id/9989384/
BY750253,"2015 MERCEDES-BENZ M-CLASS
                                 ML350 4MATIC",Mercedes-Benz,M-Class,2015,52427,3490.0,AT,Petrol,5,Location,,,,,/mercedes-benz/m-class/by750253/id/11901853/
BY759022,2006 HONDA ACTY TRUCK,Honda,Acty,2006,111250,650.0,MT,Petrol,2,Location,,,,,/honda/acty-truck/by759022/id/11910020/
BY759024,2013 MITSUBISHI CANTER,Mitsubishi,Canter,2013,312401,2990.0,Semi AT,Diesel,3,Location,,,,,/mitsubishi/canter/by759024/id/11910065/
CA462307,"2014 TOYOTA HIACE VAN
                                 DX",Toyota,Hiace,2014,161352,2980.0,AT,Diesel,3,Location,,,,,/toyota/hiace-van/ca462307/id/12565207/
CA740447,"2011 TOYOTA WISH
                                 1.8X",Toyota,Wish,2011,154001,1790.0,AT,Petrol,7,Location,,,,,/toyota/wish/ca740447/id/12831915/
CB026605,"2017 HONDA FIT HYBRID
                                 L HONDA SENSING",Honda,Fit,2017,111072,1490.0,AT,Hybrid(Petrol),5,Location,,,,,/honda/fit-hybrid/cb026605/id/13106276/
CA848029,"2023 SUZUKI JIMNY SIERRA
                                 JC",Suzuki,Jimny,2023,18932,1460.0,AT,Petrol,4,Location,,,,,/suzuki/jimny-sierra/ca848029/id/12936910/
CA797413,"2022 TOYOTA ALPHARD
                                 2.5SC",Toyota,Alphard,2022,23020,2493.0,CVT,Petrol,7,Location,,,,,/toyota/alphard/ca797413/id/12886566/
CA809714,"2022 HONDA N BOX
                                 L",Honda,N,2022,17769,658.0,CVT,Petrol,4,Location,,,,,/honda/n-box/ca809714/id/12898876/
CB205403,"2015 MITSUBISHI OUTLANDER
                                 NEWFACELIFT-REARENT-SUNROOF-4WD",Mitsubishi,Outlander,2015,56476,2360.0,AT,Petrol,7,Location,,,,,/mitsubishi/outlander/cb205403/id/13262819/
CA571753,"2021 MAZDA CX-5
                                 20S",Mazda,Cx-5,2021,23230,1997.0,AT,Petrol,5,Location,,,,,/mazda/cx-5/ca571753/id/12658762/
CA556202,2023 HONDA N BOX,Honda,N,2023,3330,658.0,CVT,Petrol,4,Location,,,,,/honda/n-box/ca556202/id/12642386/
CA555577,"2009 SUZUKI LAPIN
                                 G",Suzuki,Lapin,2009,86146,658.0,CVT,Petrol,4,Location,,,,,/suzuki/lapin/ca555577/id/12641753/
CA528924,"2017 MAZDA CX-5
                                 XDL",Mazda,Cx-5,2017,73298,2188.0,AT,Diesel,5,Location,,,,,/mazda/cx-5/ca528924/id/12615191/
CA555885,"2025 NISSAN ROOX
                                 X",Nissan,Roox,2025,6175,659.0,CVT,Hybrid(Petrol),4,Location,,,,,/nissan/roox/ca555885/id/12642062/
CA502683,"2015 DAIHATSU MOVE
                                 XSA",Daihatsu,Move,2015,50545,658.0,CVT,Petrol,4,Location,,,,,/daihatsu/move/ca502683/id/12589010/
BY908000,"2012 NISSAN ELGRAND
                                 250",Nissan,Elgrand,2012,82810,2488.0,CVT,Petrol,7,Location,,,,,/nissan/elgrand/by908000/id/12060720/
CB205393,2017 HONDA VAMOS,Honda,Vamos,2017,134749,660.0,AT,Petrol,4,Location,,,,,/honda/vamos/cb205393/id/13262809/
CB205394,2019 SUZUKI SPACIA,Suzuki,Spacia,2019,40096,660.0,CVT,Hybrid(Petrol),4,Location,,,,,/suzuki/spacia/cb205394/id/13262810/
CB205395,2006 LEXUS SC,Lexus,Sc,2006,52806,4300.0,AT,Petrol,4,Location,,,,,/lexus/sc/cb205395/id/13262811/
CB205396,2017 SUBARU IMPREZA WRX STI,Subaru,Impreza,2017,33460,2000.0,MT,Petrol,5,Location,,,,,/subaru/impreza-wrx-sti/cb205396/id/13262812/
CB205397,2014 HONDA N-ONE,Honda,N-One,2014,85539,660.0,AT,Petrol,4,Location,,,,,/honda/n-one/cb205397/id/13262813/
CB205398,2022 BMW MINI,Bmw,Mini,2022,34880,2000.0,CVT,Petrol,5,Location,,,,,/bmw/mini/cb205398/id/13262814/
CB205399,2019 LEXUS NX,Lexus,Nx,2019,49070,2000.0,AT,Petrol,5,Location,,,,,/lexus/nx/cb205399/id/13262815/
CB205400,2009 TOYOTA MARK X,Toyota,Mark,2009,5428,2500.0,AT,Petrol,5,Location,,,,,/toyota/mark-x/cb205400/id/13262816/
CB205401,2016 HONDA N BOX,Honda,N,2016,84974,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb205401/id/13262817/
CB205402,2018 NISSAN SERENA,Nissan,Serena,2018,35000,1200.0,CVT,Hybrid(Petrol),7,Location,,,,,/nissan/serena/cb205402/id/13262818/
CB141096,"2016 KIA MORNING (PICANTO)
                                 MT / ORIGINAL MILEAGE",Kia,Morning,2016,90163,998.0,MT,Petrol,5,Location,,,,,/kia/morning-picanto-/cb141096/id/13198968/
CB128051,2013 SUZUKI WAGON R,Suzuki,Wagon,2013,39000,660.0,CVT,Petrol,4,Location,,,,,/suzuki/wagon-r/cb128051/id/13185126/
CB120192,2020 HONDA N BOX,Honda,N,2020,24000,660.0,CVT,Petrol,4,Location,,,,,/honda/n-box/cb120192/id/13176600/
CB205365,2016 TOYOTA VELLFIRE,Toyota,Vellfire,2016,48125,2500.0,CVT,Petrol,7,Location,,,,,/toyota/vellfire/cb205365/id/13262779/
CB205366,2020 HONDA ODYSSEY,Honda,Odyssey,2020,65151,2400.0,CVT,Petrol,8,Location,,,,,/honda/odyssey/cb205366/id/13262780/
