source,make,model,year,mileage,engine_cc,transmission,fuel,location,price_ugx,url
BeForward,Alfa,Romeo,2019,60714.0,1800.0,AT,Petrol,Location,,/alfa-romeo/giulietta/cb203717/id/13261109/
BeForward,Alfa,Romeo,2020,60000.0,2100.0,AT,Diesel,Location,,/alfa-romeo/stelvio/cb203127/id/13260516/
BeForward,Audi,A1,2013,30200.0,1400.0,AT,Petrol,Location,,/audi/a1/cb203294/id/13260683/
BeForward,Audi,A3,2015,41042.0,1390.0,AT,Petrol,Location,,/audi/a3/cb204861/id/13262255/
BeForward,Audi,A3,2017,64220.0,2000.0,AT,Petrol,Location,,/audi/a3/cb203411/id/13260800/
BeForward,Audi,A4,2013,96021.0,2000.0,CVT,Petrol,Location,,/audi/a4/cb205160/id/13262573/
BeForward,Audi,A4,2016,140040.0,1968.0,AT,Diesel,Location,,/audi/a4/cb202625/id/13260013/
BeForward,Audi,A4,2017,41559.0,2000.0,AT,Petrol,Location,,/audi/a4/cb204993/id/13262387/
BeForward,Audi,A4,2022,15837.0,2000.0,AT,Hybrid(Diesel),Location,,/audi/a4/cb204298/id/13261691/
Autorec,Audi,A5,2008,6650000.0,31900.0,,,,21240000.0,/cars-list/coupe/2008-audi-a5-7136?select_type=export
BeForward,Audi,A8,2021,53000.0,3000.0,AT,Hybrid(Petrol),Location,,/audi/a8/cb203254/id/13260643/
BeForward,Audi,E-,2023,31375.0,,AT,Electric,Location,,/audi/e-tron/ca442884/id/12528434/
BeForward,Audi,Q2,2020,19906.0,1400.0,AT,Petrol,Location,,/audi/q2/cb205122/id/13262520/
BeForward,Audi,Q3,2013,65400.0,2000.0,AT,Petrol,Location,,/audi/q3/cb205283/id/13262697/
BeForward,Audi,Q3,2021,17300.0,2000.0,AT,Diesel,Location,,/audi/q3/ca154874/id/12236636/
BeForward,Audi,Q3,2021,34473.0,2000.0,AT,Diesel,Location,,/audi/q3/cb203579/id/13260968/
BeForward,Audi,Q3,2023,22490.0,1500.0,AT,Petrol,Location,,/audi/q3/cb203414/id/13260803/
BeForward,Audi,Q7,2016,82000.0,3000.0,AT,Petrol,Location,,/audi/q7/ca808439/id/12897197/
BeForward,Audi,R8,2014,21000.0,5200.0,MT,Petrol,Location,,/audi/r8/cb204832/id/13262226/
BeForward,Audi,S4,2017,63000.0,3000.0,AT,Petrol,Location,,/audi/s4/cb203045/id/13260434/
BeForward,Audi,S5,2017,40022.0,3000.0,AT,Petrol,Location,,/audi/s5/cb202640/id/13260028/
BeForward,Audi,S5,2018,29042.0,3000.0,AT,Petrol,Location,,/audi/s5/cb203450/id/13260839/
BeForward,Audi,S5,2020,39000.0,3000.0,AT,Petrol,Location,,/audi/s5/by058756/id/11202971/
BeForward,Audi,S8,2022,28549.0,4000.0,AT,Petrol,Location,,/audi/s8/cb203355/id/13260744/
BeForward,Audi,Tt,2007,143471.0,2000.0,AT,Petrol,Location,,/audi/tt/cb204933/id/13262327/
Autorec,Audi,Tt,2008,10730000.0,19800.0,,,,17280000.0,/cars-list/coupe/2008-audi-tt-7158?select_type=export
BeForward,Audi,Tt,2011,76000.0,2000.0,AT,Petrol,Location,,/audi/tt/cb205368/id/13262782/
BeForward,Audi,Tts,2019,56987.0,2000.0,AT,Petrol,Location,,/audi/tts/cb203657/id/13261049/
BeForward,Audi,Tts,2020,32710.0,2000.0,AT,Petrol,Location,,/audi/tts/cb205050/id/13262444/
BeForward,Bmw,1,2012,58100.0,1600.0,AT,Petrol,Location,,/bmw/1-series/ca320747/id/12404503/
